epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7784,1.45674,2.1068,1.53814,0.2619,0.22449,0.1687,0.06396,2.35967,47.8258,3.64198,0.000656085,0.000656085,0.000656085
2,103.731,1.88145,2.31385,1.86995,0.00094,0.16327,0.00054,0.00017,3.77278,inf,4.90354,0.00129656,0.00129656,0.00129656
3,132.244,2.06104,2.47464,2.0234,0.02253,0.46939,0.01938,0.00662,2.77212,48.3237,4.01115,0.00191064,0.00191064,0.00191064
4,195.457,1.98272,2.41284,1.94601,0.07564,0.10204,0.01917,0.00767,3.09877,6.87391,3.3757,0.0018812,0.0018812,0.0018812
5,228.766,1.88988,2.32311,1.90227,0.10824,0.28571,0.08193,0.03523,1.7917,9.13107,2.12861,0.0018416,0.0018416,0.0018416
6,259.957,1.7862,2.20742,1.80927,0.19554,0.34694,0.12328,0.05076,2.44815,3.98678,2.57664,0.001802,0.001802,0.001802
7,288.194,1.73442,2.14079,1.76376,0.27285,0.28571,0.21842,0.09116,1.88547,2.85949,2.15054,0.0017624,0.0017624,0.0017624
8,316.545,1.67388,2.08977,1.74618,0.24955,0.32653,0.19167,0.0766,2.05548,2.56629,2.37666,0.0017228,0.0017228,0.0017228
9,344.91,1.68353,2.03934,1.71662,0.51855,0.3518,0.38084,0.18565,1.87288,1.98528,2.09276,0.0016832,0.0016832,0.0016832
10,373.569,1.60027,1.97736,1.67469,0.37665,0.42857,0.30933,0.16667,1.73322,2.06541,2.05767,0.0016436,0.0016436,0.0016436
11,401.833,1.57625,1.94104,1.64719,0.38239,0.34694,0.33323,0.17904,1.56655,1.978,1.78715,0.001604,0.001604,0.001604
12,429.624,1.52789,1.88494,1.63029,0.48253,0.38776,0.33727,0.18572,1.50589,1.92113,1.83656,0.0015644,0.0015644,0.0015644
13,458.011,1.46932,1.74746,1.56504,0.39726,0.5102,0.38373,0.20904,1.58202,1.8835,1.79593,0.0015248,0.0015248,0.0015248
14,486.702,1.45641,1.74324,1.57175,0.51122,0.46959,0.44124,0.26334,1.37033,1.58738,1.6694,0.0014852,0.0014852,0.0014852
15,515.224,1.43825,1.73648,1.5561,0.59366,0.47717,0.54888,0.28521,1.51888,1.94765,1.77554,0.0014456,0.0014456,0.0014456
